stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
COW4THSF,1037,Cowley @ 4th,S COWLEY ST & E 4TH AV,47.651817,-117.408287,,,,,,0
COWHARSN,1038,Cowley @ Hartson (ST Lukes),S COWLEY ST & E HARTSON AV,47.650037,-117.408274,,,,,,0
5THBROWN,1040,5th @ Browne,W 5TH AV & S BROWNE ST SB,47.651563,-117.413283,,,,,,0
5THMCCWN,1041,5th @ McClellan,W 5TH AV & S MCCLELLAN ST,47.651473,-117.41475,,,,,,0
5THBERWN,1042,5th @ Bernard,W 5TH AV & S BERNARD ST,47.651527,-117.41627,,,,,,0
BER6THSN,1043,Bernard @ 6th,S BERNARD ST & W 6TH AV,47.650513,-117.416468,,,,,,0
6THWASWN,1044,6th @ Washington,W 6TH AV & S WASHINGTON ST NB,47.650477,-117.417883,,,,,,0
6THSTEWN,1045,6th @ Stevens,W 6TH AV & S STEVENS ST SB,47.650459,-117.419403,,,,,,0
5THWALWN,1047,5th @ Wall,W 5TH AV & S WALL ST,47.651464,-117.421954,,,,,,0
5THDEACW,1048,5th @ Deaconess Hospital,W 5TH AV & S WALL ST,47.651473,-117.423633,,,,,,0
5THLINWN,1049,5th @ Lincoln,W 5TH AV & S LINCOLN ST NB,47.651464,-117.424888,,,,,,0
LINSPRNN,1051,Lincoln @ Sprague,S LINCOLN ST NB & W SPRAGUE AV,47.657143,-117.424954,,,,,,0
MAICEDWC,1053,Main @ Cedar,W MAIN AV & N CEDAR ST,47.659036,-117.432965,,,,,,0
MAIMAPWN,1054,Main @ Maple,W MAIN AV & N MAPLE ST,47.659036,-117.435093,,,,,,0
CLAASHWC,1056,Clarke @ Ash,W CLARKE AV & N ASH ST,47.658339,-117.437512,,,,,,0
CLA2010W,1058,Clarke @ W 2010,W CLARKE AV & W 2010,47.658384,-117.441994,,,,,,0
CLASPRWF,1059,Clarke @ Spruce,W CLARKE AV & N SPRUCE ST,47.658728,-117.446925,,,,,,0
RIVCLAWF,1060,Riverside @ Clarke,W RIVERSIDE AV BR & W CLARKE AV,47.654841,-117.45397,,,,,,0
CLASPREN,1062,Clarke @ Spruce,W CLARKE AV & N SPRUCE ST,47.658646,-117.446846,,,,,,0
CLA2007W,1063,Clarke @ W 2007,W CLARKE AV & W 2007,47.658275,-117.441571,,,,,,0
CLAASHEN,1065,Clarke @ Ash,W CLARKE AV & N ASH ST,47.658203,-117.437393,,,,,,0
MAPMAINN,1067,Maple @ Main,N MAPLE ST & W MAIN AV,47.658864,-117.435093,,,,,,0
MAICEDEN,1068,Main @ Cedar,W MAIN AV & N CEDAR ST,47.658891,-117.433071,,,,,,0
SPRMONWF,1070,Sprague @ Monroe,W SPRAGUE AV WB & N MONROE ST SB,47.657252,-117.427069,,,,,,0
SPRJEFWN,1071,Sprague @ Jefferson,W SPRAGUE AV & N JEFFERSON ST,47.657234,-117.429344,,,,,,0
SPRADAWC,1072,Sprague @ Adams,W SPRAGUE AV WB & S ADAMS ST,47.657198,-117.431127,,,,,,0
RIVMAPWC,1073,Riverside @ Maple,W RIVERSIDE AV & S MAPLE ST,47.6567,-117.435688,,,,,,0
RIVELMWC,1074,Riverside @ Elm,W RIVERSIDE AV & S ELM ST,47.657243,-117.440011,,,,,,0
RIVHEMWF,1076,Riverside @ Hemlock (Broadmoor Apt),W RIVERSIDE AV & S HEMLOCK ST,47.657605,-117.445365,,,,,,0
GOVGSTNC,1078,Government Way @ G Street,S GOVERNMENT WY & S G ST,47.656343,-117.463039,,,,,,0
GOV211N,1079,Government Way @ N 211,N GOVERNMENT WY & N 211,47.658444,-117.465261,,,,,,0
GOV508N,1080,Government Way @ N 508,N GOVERNMENT WY & N 508,47.660047,-117.466042,,,,,,0
GOV1202N,1081,Government Way @ N1202,N GOVERNMENT WY & N 1202,47.666884,-117.469483,,,,,,0
FORRANEF,1083,Fort George Wright @ Randolph,W FORT GEORGE WRIGHT DR & W RANDOLPH RD,47.673152,-117.469711,,,,,,0
SFCCE,1084,Spokane Falls Community College,W FORT GEORGE WRIGHT DR,47.675173,-117.461743,,,,,,0
FORELLEF,1085,Fort George Wright @ Elliot,W FORT GEORGE WRIGHT DR & W ELLIOT DR,47.677792,-117.456516,,,,,,0
COCDALNN,1088,Cochran @ Dalton,N COCHRAN ST NB & W DALTON AV,47.687077,-117.44787,,,,,,0
DRIKIENN,1090,Driscoll @ Kiernan,N DRISCOLL BL & W KIERNAN AV,47.691651,-117.450808,,,,,,0
DRIGARNF,1092,Driscoll @ Garland,N DRISCOLL BL & W GARLAND AV,47.694106,-117.453454,,,,,,0
DRIROCNN,1094,Driscoll @ Rockwell,N DRISCOLL BL & W ROCKWELL AV,47.696234,-117.455756,,,,,,0
DRIHOFNN,1096,Driscoll @ Hoffman,N DRISCOLL BL & W HOFFMAN AV,47.699739,-117.459474,,,,,,0
DRIHOFSN,1123,Driscoll @ Hoffman,N DRISCOLL BL & W HOFFMAN AV,47.699938,-117.459937,,,,,,0
DRIROCSN,1125,Driscoll @ Rockwell,N DRISCOLL BL & W ROCKWELL AV,47.696334,-117.45602,,,,,,0
DRIGARSN,1127,Driscoll @ Garland,N DRISCOLL BL & W GARLAND AV,47.693753,-117.453202,,,,,,0
DRIKIESF,1129,Driscoll @ Kiernan,N DRISCOLL BL & W KIERNAN AV,47.691307,-117.450649,,,,,,0
ALBNORSN,1132,Alberta @ Northwest Blvd,N ALBERTA ST & W EUCLID-FAIRVIEW AL,47.685546,-117.449495,,,,,,0
TJMELLSN,1134,TJ Meenach @ Elliot,W FORT GEORGE WRIGHT DR & W ELLIOT DR,47.677801,-117.456622,,,,,,0
SFCCW,1135,Spokane Falls Community College,W FORT GEORGE WRIGHT DR & W RANDOLPH RD,47.675264,-117.46203,,,,,,0
FORRANWN,1136,Fort George Wright @ Randolph,W FORT GEORGE WRIGHT DR & W RANDOLPH RD,47.673188,-117.470134,,,,,,0
